id,time
1,flamengo
2,brasil
3,arsenal
4,fiorentina
5,parma
6,real madrid
7,milan
8,japão
9,manchester united
10,barcelona
11,inter de milão
12,celtic
13,argentina
14,liverpool
15,frança
16,chelsea
17,corinthians
18,bayern de munique
19,boca juniors
20,jamaica
21,nigéria
22,inglaterra
23,espanha
24,escócia
25,napoli
26,juventus
27,real betis
28,holanda
29,newcastle
30,nigeria
31,olympique de marsellie
32,roma
33,manchester city
34,tottenham
35,borussia dortmund
36,psg
37,méxico
38,alemanha
39,porto
40,valencia
41,portugal
42,west ham
43,atletico de madrid
44,iugoslávia
45,itália
46,river plate
47,rangers
48,psv
49,ajax
50,lazio
51,atlético de madrid
52,getafe
53,new york city
54,celta de vigo
55,kaizer chiefs
56,irlanda do sul
57,dinamarca
58,croácia
59,sporting
60,los angeles galaxy
61,benfica
62,leeds

